Wall time,Step,Value
1602369782.4985912,5999,1.5572903156280518
1602369785.1318285,6999,16.605213165283203
1602369792.937284,10999,1.5961849689483643
1602369794.282069,11999,535.3991088867188
1602369798.1882136,13999,531.2005004882812
1602369800.811011,14999,1.973647117614746
1602369802.0965118,15999,0.3065943121910095
1602369806.011783,17999,105.80396270751953
1602369808.6451383,18999,338.0065002441406
1602369809.9349864,19999,827.1868286132812
1602369812.6159344,20999,812.4799194335938
1602369820.386204,24999,741.4364013671875
1602369837.2440593,33999,2.608823299407959
1602369839.8384125,34999,734.3595581054688
1602369843.7156458,36999,673.18798828125
1602369848.9470198,39999,0.12598519027233124
1602369851.5585694,40999,305.8903503417969
1602369854.1162632,42999,7.48564338684082
1602369858.0002604,44999,0.23255230486392975
1602369860.5998795,45999,785.6387329101562
1602369864.5233994,47999,482.4342346191406
1602369868.411836,49999,0.17079390585422516
1602369869.6806357,50999,154.753173828125
1602369876.1909697,53999,745.2402954101562
1602369877.4826593,54999,532.8516845703125
1602369880.1034772,55999,878.6638793945312
1602369881.4491026,56999,168.41006469726562
1602369884.0666113,57999,251.0516357421875
1602369889.272162,60999,0.9978319406509399
1602369891.903179,61999,31.241750717163086
1602369895.804579,63999,477.6593017578125
1602369899.742847,65999,63.262393951416016
1602369901.0243237,66999,38.46935272216797
1602369903.6237373,67999,45.016536712646484
1602369904.9053586,68999,0.3355172276496887
1602369911.4016147,71999,506.608154296875
1602369912.6804013,72999,241.02642822265625
1602369915.2977266,73999,296.4830017089844
1602369916.6354885,74999,298.1548156738281
1602369920.5325398,76999,105.4236068725586
1602369927.039687,79999,736.2928466796875
1602369936.148902,84999,279.5031433105469
1602369937.4361033,85999,803.6483764648438
1602369940.0541875,86999,901.2726440429688
1602369941.3365061,87999,834.2317504882812
1602369943.9377534,88999,997.2186889648438
1602369945.2316024,89999,266.9201354980469
1602369955.6544046,94999,27.568647384643555
1602369971.2742956,102999,310.0848693847656
1602369976.5036116,105999,96.49249267578125
1602369979.1327744,106999,199.98695373535156
1602369992.1674788,113999,40.22837829589844
1602369998.6806836,116999,959.3624877929688
1602370002.583285,118999,500.75213623046875
1602370003.917716,119999,402.5456848144531
1602370006.5358067,120999,752.0991821289062
1602370014.3493536,124999,738.898681640625
1602370015.6429524,125999,416.7036437988281
1602370018.2698996,126999,2.849203586578369
1602370023.5104837,129999,325.4130554199219
1602370024.7958066,130999,231.58224487304688
1602370031.320512,133999,317.2108154296875
1602370039.1875527,137999,657.5083618164062
1602370043.078704,139999,961.0618896484375
1602370046.9675412,141999,50.55085754394531
1602370048.2571042,142999,972.0571899414062
1602370050.862836,143999,625.4147338867188
1602370052.147034,144999,122.10757446289062
1602370060.010692,148999,406.9615783691406
1602370063.9002562,150999,504.8038635253906
1602370070.417919,153999,859.7816772460938
1602370071.7004623,154999,141.89259338378906
1602370074.381487,155999,282.1402893066406
1602370078.2848332,157999,731.4161987304688
1602370079.5754607,158999,126.10811614990234
1602370082.1940224,159999,107.3678970336914
1602370087.3824353,162999,750.524658203125
1602370091.332496,164999,991.0380859375
1602370093.941498,165999,252.0634002685547
1602370097.8402746,167999,855.3153076171875
1602370099.1288493,168999,618.1500244140625
1602370104.3481932,171999,887.5289306640625
1602370114.882583,176999,723.9183959960938
1602370116.1775393,177999,799.7454833984375
1602370118.8115373,178999,251.80055236816406
1602370122.7480497,180999,847.4862060546875
1602370124.047614,181999,844.5065307617188
1602370128.028849,183999,148.16148376464844
1602370131.941768,185999,442.78387451171875
1602370134.563073,186999,934.548583984375
1602370135.8580306,187999,251.4924774169922
1602370138.4905708,188999,268.4945068359375
1602370142.4120562,190999,288.1148986816406
1602370143.7581806,191999,408.2090148925781
1602370158.1790028,198999,90.96064758300781
1602370166.0386047,202999,52.092002868652344
1602370173.8669822,206999,451.0799865722656
1602370175.1608772,207999,477.3664245605469
1602370177.8240702,208999,291.27044677734375
1602370185.5837934,212999,67.0610122680664
1602370190.7546182,215999,433.1700744628906
1602370195.992604,218999,68.66964721679688
1602370198.5971365,219999,829.8883666992188
1602370203.8023646,222999,234.09274291992188
1602370206.4363763,223999,247.7748565673828
1602370210.349351,225999,13.208160400390625
1602370211.6404598,226999,245.10308837890625
1602370214.321399,227999,372.4006042480469
1602370218.2327285,229999,379.9890441894531
1602370219.521314,230999,443.00048828125
1602370223.4199758,232999,659.4874267578125
1602370226.0279706,233999,18.86433982849121
1602370227.2986724,234999,449.01617431640625
1602370233.85169,237999,321.8525390625
1602370239.0310934,240999,421.31561279296875
1602370249.5309598,245999,350.34625244140625
1602370253.4607413,247999,534.9544067382812
1602370257.3797028,249999,416.7649841308594
1602370258.67531,250999,599.3369140625
1602370267.7890515,255999,525.0498657226562
1602370274.2677357,258999,488.71466064453125
1602370275.5419686,259999,982.0925903320312
1602370278.1405256,260999,408.09967041015625
1602370279.4258292,261999,502.8244934082031
1602370283.3494282,263999,499.0749206542969
1602370291.1119325,267999,245.44659423828125
1602370295.0437758,269999,652.7965698242188
1602370298.9803374,271999,538.70166015625
1602370302.9639664,273999,322.0657653808594
1602370313.4891856,278999,493.68487548828125
1602370317.4726522,280999,560.5693359375
1602370325.2760296,284999,962.680419921875
1602370334.3864288,289999,383.5224914550781
1602370338.2694154,291999,470.108642578125
1602370340.870092,292999,794.2372436523438
1602370346.0364442,295999,231.12936401367188
1602370349.9160185,297999,945.9898681640625
1602370351.1966493,298999,156.36280822753906
1602370353.8645124,299999,443.59417724609375
1602370357.756523,301999,367.6543884277344
1602370359.0362918,302999,770.4996948242188
1602370361.6386669,303999,640.6220092773438
1602370369.4865716,307999,818.2741088867188
1602370370.7765677,308999,609.673828125
1602370374.6985993,310999,328.9588623046875
1602370381.2567692,313999,587.9783935546875
1602370389.1743593,317999,605.0617065429688
1602370390.4729266,318999,285.2519226074219
1602370393.0959454,319999,728.9635009765625
1602370394.3803034,320999,883.0924682617188
1602370398.2722027,322999,736.7405395507812
1602370404.8452733,325999,438.0638122558594
1602370406.1300137,326999,983.6259765625
1602370408.7503726,327999,503.3750915527344
1602370413.9387589,330999,156.9840850830078
1602370416.5568485,331999,468.9229736328125
1602370420.4493473,333999,241.61160278320312
1602370432.2274725,339999,289.04217529296875
1602370434.8112798,341999,206.89227294921875
1602370441.3808525,344999,210.19808959960938
1602370442.6709862,345999,297.7650451660156
1602370446.5707111,347999,458.4526672363281
